	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSSSCG00000013788	13.037810006925	0.812171990275518	0.260093884857745	3.12261086307249	0.00179254580466217	0.0405748688589875
ENSSSCG00000013880	4.40920719877787	0.822509039706532	0.290841987959758	2.82802715480111	0.00468358335533983	0.0756435883183854
ENSSSCG00000013898	4.20611204085051	0.990711683195544	0.329264581846348	3.00886198460866	0.00262228209671225	0.0516557357480554
ENSSSCG00000013904	34.2991217323515	0.638613446615308	0.185892485504465	3.43539140316659	0.000591698558550516	0.0204954309217072
ENSSSCG00000013909	15.0591627165339	-0.803708648521386	0.245379284013763	-3.27537286512054	0.001055225980098	0.0286795975893079
ENSSSCG00000013939	21.9693430098773	-0.379603632562932	0.121734735033064	-3.11828528200951	0.00181906633419449	0.0409038672937656
ENSSSCG00000014061	294.160976943389	-0.165944911220879	0.0574385634154327	-2.88908533489354	0.00386364208638318	0.0665145269239536
ENSSSCG00000014131	106.592143380714	-0.506957673810041	0.151313529554284	-3.35037901305559	0.000807010549404116	0.024465794682121
ENSSSCG00000014216	372.973892790727	0.302862577799105	0.112752470259281	2.68608374701374	0.00722949657793961	0.0989205182100931
ENSSSCG00000014256	1.72428811866685	-1.06495109412588	0.391953321773822	-2.71703551154087	0.00658695398293026	0.0934841895748119
ENSSSCG00000014264	2583.48342893407	0.241813019909002	0.0882241457533185	2.74089386578057	0.00612722960454656	0.089520516562681
ENSSSCG00000014277	8749.50739629454	0.371273048470117	0.0912885814804167	4.06702615430346	4.76169006361212e-05	0.00405865519558143
ENSSSCG00000014278	6.30853305241292	-0.549866395322838	0.191191872745008	-2.87599251698419	0.00402759259893082	0.0683012578235352
ENSSSCG00000014326	152.103425579928	0.458805077299043	0.140267244456778	3.27093527128081	0.00107192442208434	0.0288445117215422
ENSSSCG00000014329	59.3589617790292	0.592319603353621	0.113535515879475	5.21704242734412	1.81802628286481e-07	0.000105705242446568
ENSSSCG00000014399	135.708986718417	0.61189426590125	0.174050039989482	3.51562266770078	0.000438724033452278	0.0168057112108308
ENSSSCG00000014618	1584.74113328911	0.781221481391987	0.230547669841045	3.38854642048915	0.00070264134391891	0.022465156648326
ENSSSCG00000014812	7.0679059552232	0.926584177198568	0.310517245808544	2.98400230488285	0.00284504628610969	0.0542993593644382
ENSSSCG00000014821	26.5618375869368	0.792473925181097	0.255715137247126	3.09904972272033	0.00194142434741773	0.0430604746266493
ENSSSCG00000014834	51.2777512442052	0.755917535252136	0.221324932392415	3.41541970477992	0.000636838022069552	0.0211356582072257
ENSSSCG00000014835	811.858968843479	0.383944402325996	0.130799770151339	2.93535991601332	0.00333161003549511	0.0606695876709848
ENSSSCG00000014851	185.167454815941	0.870609874663888	0.220534405323523	3.9477281260795	7.88963268887321e-05	0.00575978565806528
ENSSSCG00000014871	55.7614843363448	-1.15822400513504	0.38423322447214	-3.01437754823572	0.00257507136691457	0.0514382354029069
ENSSSCG00000014893	71.2310638524499	-0.336142270049279	0.107742599569854	-3.11986411494875	0.00180934485999456	0.0407979699732844
ENSSSCG00000014946	959.11669084009	-0.237632321664584	0.0701284848672169	-3.38852781597269	0.0007026890126856	0.022465156648326
ENSSSCG00000014997	5289.37949593633	0.723306798529566	0.230837100412338	3.13340791942692	0.00172789123691716	0.0396756972313278
ENSSSCG00000015036	388.240532962891	-0.693312248105718	0.172248944034535	-4.02505949741389	5.69609120774734e-05	0.00459071113178845
ENSSSCG00000015037	775.986725176422	-0.923591967791225	0.270804302504009	-3.41055130679673	0.000648316850557943	0.0213059292157292
ENSSSCG00000015040	632.08874300395	-0.302543030880706	0.109599280601409	-2.76044723305252	0.00577222818076576	0.0864506667735663
ENSSSCG00000015045	7.18807840439694	-0.813715389888508	0.260039669332812	-3.12919714125261	0.00175284663445938	0.040081660037132
ENSSSCG00000015098	0.655626154184455	1.6508919952754	0.534706510796498	3.08747315011413	0.00201866006918065	0.0438868250083946
ENSSSCG00000015105	437.140894516598	-0.196559427927557	0.0674075462477089	-2.91598550710096	0.00354566970692025	0.063362791249903
ENSSSCG00000015116	527.113401826721	-0.295684640927653	0.0878547204807777	-3.36560903397726	0.000763748757181482	0.0236621907526813
ENSSSCG00000015241	12.5394164558176	1.8359425536902	0.454874992359617	4.03614747903911	5.4336067806903e-05	0.00443049702478533
ENSSSCG00000015242	384.550779276336	-0.24666084094709	0.0709834867206758	-3.47490454952876	0.000511035154253173	0.0187207040285207
ENSSSCG00000015252	119.748450573696	0.42914157362943	0.140996950075942	3.04362309538108	0.0023374779024169	0.0488393494457522
ENSSSCG00000015276	63.7164770925394	-0.61061889674915	0.200768457221098	-3.04140852204039	0.00235474105208569	0.0488393494457522
ENSSSCG00000015283	2092.26878163029	-0.379285490991983	0.0783327790066969	-4.84197670249331	1.28553839431365e-06	0.000396417519527408
ENSSSCG00000015294	140.337949708475	-0.468271593162933	0.164783608652116	-2.84173648697989	0.00448685608763807	0.0732727602416584
ENSSSCG00000015322	3.4100891465278	1.47199802750457	0.44346149887078	3.31933669834435	0.000902315624036087	0.0259077572474559
ENSSSCG00000015346	0.771525595823051	-1.11569067398901	0.338380255733592	-3.2971506318247	0.000976711034312663	0.0273210577982992
ENSSSCG00000015353	11.1153545522149	0.92613870693347	0.33796916030423	2.74030537608753	0.00613821234524064	0.089520516562681
ENSSSCG00000015380	730.605315843533	-0.258634891703758	0.091894449033964	-2.8144778539144	0.00488565438440622	0.0777501988056044
ENSSSCG00000015436	31.4140363088436	0.351913771425247	0.119182557526239	2.95272881140992	0.00314978540032907	0.0584056000544431
ENSSSCG00000015447	59.3204829307187	0.472999527293813	0.160367933160908	2.94946450933692	0.00318325131938153	0.0588233047440765
ENSSSCG00000015453	3094.61727532833	0.307135938182944	0.0722390320987146	4.25166186838222	2.12190062255048e-05	0.00221439372661037
ENSSSCG00000015487	6.84183838229425	-0.658460588329247	0.205441353885119	-3.20510245808375	0.00135014410700421	0.0338680216672242
ENSSSCG00000015493	105.796991700507	-0.364809706741433	0.0964324591107681	-3.78305925313375	0.000154912517621577	0.00886682766839523
ENSSSCG00000015524	212.56134817028	0.343417685156058	0.115514494640829	2.97294020307887	0.00294961909543	0.055836975434419
ENSSSCG00000015525	604.678514302576	0.665813473758981	0.218084065259404	3.05301294235788	0.00226556166921384	0.0478383190334647
